year,proportion,ngram
1981,5.82618886468822e-09,Zipf 's law
1982,5.006663528206445e-09,Zipf 's law
1983,7.844663585387934e-09,Zipf 's law
1984,5.2874504774536035e-09,Zipf 's law
1985,4.928644159463147e-09,Zipf 's law
1986,2.53905962921408e-09,Zipf 's law
1987,5.6599569475679345e-09,Zipf 's law
1988,5.46896083974957e-09,Zipf 's law
1989,3.1433926572788096e-09,Zipf 's law
1990,7.209090213677882e-09,Zipf 's law
1991,7.860218254052143e-09,Zipf 's law
1992,3.2594855703393932e-09,Zipf 's law
1993,8.062186473978272e-09,Zipf 's law
1994,6.575837652178507e-09,Zipf 's law
1995,4.98807928295264e-09,Zipf 's law
1996,6.673247732180698e-09,Zipf 's law
1997,8.558118658186231e-09,Zipf 's law
1998,8.092495562550539e-09,Zipf 's law
1999,9.83748371652382e-09,Zipf 's law
2000,6.04015104599398e-09,Zipf 's law
2001,1.2780465574735445e-08,Zipf 's law
2002,1.1350849149494024e-08,Zipf 's law
2003,1.4829576677755085e-08,Zipf 's law
2004,1.7996020673649582e-08,Zipf 's law
2005,2.066893145524773e-08,Zipf 's law
2006,1.859508458323944e-08,Zipf 's law
2007,2.2961783585628837e-08,Zipf 's law
2008,2.2015838041511415e-08,Zipf 's law
2009,2.471383986346609e-08,Zipf 's law
2010,1.8183941463689735e-08,Zipf 's law
2011,2.5074426091009627e-08,Zipf 's law
2012,2.851802172187945e-08,Zipf 's law
2013,2.8284729225447336e-08,Zipf 's law
2014,2.3202700205615656e-08,Zipf 's law
2015,2.2801192045562857e-08,Zipf 's law
2016,2.794303988196134e-08,Zipf 's law
2017,2.0476448980843998e-08,Zipf 's law
2018,2.1554335205564712e-08,Zipf 's law
2019,3.1586576909603536e-08,Zipf 's law
1800,0.0,loi de Zipf
1801,0.0,loi de Zipf
1802,0.0,loi de Zipf
1803,0.0,loi de Zipf
1804,0.0,loi de Zipf
1805,0.0,loi de Zipf
1806,0.0,loi de Zipf
1807,0.0,loi de Zipf
1808,0.0,loi de Zipf
1809,0.0,loi de Zipf
1810,0.0,loi de Zipf
1811,0.0,loi de Zipf
1812,0.0,loi de Zipf
1813,0.0,loi de Zipf
1814,0.0,loi de Zipf
1815,0.0,loi de Zipf
1816,0.0,loi de Zipf
1817,0.0,loi de Zipf
1818,0.0,loi de Zipf
1819,0.0,loi de Zipf
1820,0.0,loi de Zipf
1821,0.0,loi de Zipf
1822,0.0,loi de Zipf
1823,0.0,loi de Zipf
1824,0.0,loi de Zipf
1825,0.0,loi de Zipf
1826,0.0,loi de Zipf
1827,0.0,loi de Zipf
1828,0.0,loi de Zipf
1829,0.0,loi de Zipf
1830,0.0,loi de Zipf
1831,0.0,loi de Zipf
1832,0.0,loi de Zipf
1833,0.0,loi de Zipf
1834,0.0,loi de Zipf
1835,0.0,loi de Zipf
1836,0.0,loi de Zipf
1837,0.0,loi de Zipf
1838,0.0,loi de Zipf
1839,0.0,loi de Zipf
1840,0.0,loi de Zipf
1841,0.0,loi de Zipf
1842,0.0,loi de Zipf
1843,0.0,loi de Zipf
1844,0.0,loi de Zipf
1845,0.0,loi de Zipf
1846,0.0,loi de Zipf
1847,0.0,loi de Zipf
1848,0.0,loi de Zipf
1849,0.0,loi de Zipf
1850,0.0,loi de Zipf
1851,0.0,loi de Zipf
1852,0.0,loi de Zipf
1853,0.0,loi de Zipf
1854,0.0,loi de Zipf
1855,0.0,loi de Zipf
1856,0.0,loi de Zipf
1857,0.0,loi de Zipf
1858,0.0,loi de Zipf
1859,0.0,loi de Zipf
1860,0.0,loi de Zipf
1861,0.0,loi de Zipf
1862,0.0,loi de Zipf
1863,0.0,loi de Zipf
1864,0.0,loi de Zipf
1865,0.0,loi de Zipf
1866,0.0,loi de Zipf
1867,0.0,loi de Zipf
1868,0.0,loi de Zipf
1869,0.0,loi de Zipf
1870,0.0,loi de Zipf
1871,0.0,loi de Zipf
1872,0.0,loi de Zipf
1873,0.0,loi de Zipf
1874,0.0,loi de Zipf
